Gene,X5EGGE,X5EQMM,X5GICA,X5N9D6,X5P9GB,X5N9ES,X5P9GS,X5N9E1
DDX11L1,0,0,0,1,1,0,0,0
WASH7P,67,98,66,104,111,84,133,300
MIR6859-1,0,0,0,0,0,0,0,0
MIR1302-2HG,0,1,0,0,0,0,0,0
FAM138A,1,0,0,1,2,1,0,0
OR4G4P,2,2,0,0,0,1,0,0
OR4G11P,3,3,0,0,0,0,2,0
OR4F5,2,1,0,0,2,3,0,0
RP11-34P13.7,2,5,2,3,9,2,1,3
CICP27,0,0,34,18,11,7,29,16
RP11-34P13.15,82,45,520,850,398,260,234,360
RP11-34P13.16,57,36,463,695,337,172,192,225
RP11-34P13.14,3,0,13,37,21,9,15,9
RP11-34P13.13,9,15,52,110,44,14,185,15
RNU6-1100P,0,0,0,1,0,0,0,0
RP11-34P13.9,0,0,0,0,0,0,0,0
ABC7-43046700E7.1,3,4,6,7,1,1,1,0
RP11-34P13.18,299,347,274,265,260,368,515,595
MIR6859-2,0,0,0,0,0,0,0,0
AP006222.2,6,32,82,8,77,23,164,205
RPL23AP24,1,0,2,0,3,1,2,6
RP5-857K21.15,0,2,0,0,0,0,0,0
RP4-669L17.2,2,0,0,0,0,0,0,0
RP4-669L17.10,10,20,33,40,23,28,150,120
WBP1LP7,1,0,1,0,2,0,1,0
OR4F29,1,2,1,0,1,4,1,0
CICP7,0,1,0,0,3,0,2,0
RP4-669L17.8,1,0,1,5,1,2,11,4
U6,0,0,0,0,0,0,0,0
RP5-857K21.4,5,4,2,3,9,8,14,3
RP5-857K21.2,0,0,0,0,0,0,0,0
MTND1P23,200,311,82,26,69,159,24,45
MTND2P28,32240,47507,10489,5881,12559,14561,8675,8077
MTCO1P12,3144,43503,1822,1111,1321,1865,310,280
MTCO2P12,844,903,250,71,136,268,88,138
MTATP8P1,289,384,75,17,31,39,27,28
MTATP6P1,104894,293460,38222,26154,35920,50835,33269,21904
MTCO3P12,2979,758,164,97,99,314,103,137
WBP1LP6,4,0,0,0,1,0,0,0
OR4F16,3,1,0,1,1,0,0,0
RP11-206L10.17,0,0,0,0,0,0,0,0
CICP3,20,10,6,1,5,4,25,38
RP11-206L10.2,292,369,433,371,556,439,982,635
RNU6-1199P,0,1,0,0,0,0,0,0
RP11-206L10.4,1,6,1,0,0,0,0,0
RP11-206L10.9,145,75,74,52,55,59,103,137
RP11-206L10.8,9,5,16,5,32,5,26,13
FAM87B,9,13,12,20,5,7,29,16
LINC01128,558,2656,1067,830,1114,1165,1589,1553
LINC00115,100,248,67,163,37,48,349,566
FAM41C,3,4,0,5,1,4,6,1
TUBB8P11,3,1,4,0,0,2,4,0
FAM166AP3,0,1,0,0,0,2,0,0
RP11-54O7.16,0,1,6,2,0,0,1,2
RP11-54O7.1,10,32,12,6,2,15,7,34
RP11-54O7.2,0,0,0,0,0,0,0,0
RP11-54O7.3,73,210,48,18,21,15,12,42
SAMD11,94,511,95,136,88,120,47,145
NOC2L,3029,3054,3440,3174,6272,4448,6037,3746
KLHL17,509,853,915,1062,774,807,570,323
PLEKHN1,29,40,82,133,60,129,14,7
PERM1,15,60,48,32,17,39,7,12
RP11-54O7.17,20,33,53,91,222,612,79,84
HES4,34,151,627,568,253,822,526,119
ISG15,612,2377,1132,1118,319,229,1495,398
RP11-54O7.10,0,0,0,0,0,1,3,0
RP11-54O7.11,0,2,7,5,4,1,7,2
AGRN,2047,4889,7668,5292,11165,7573,6733,2633
RP11-465B22.3,10,127,63,56,129,151,13,6
RP11-54O7.18,5,20,0,10,3,7,2,1
RNF223,11,3,70,15,0,4,0,5
C1orf159,925,889,984,829,944,651,1332,1493
LINC01342,2,14,5,7,4,39,3,1
MIR200B,1,0,1,0,8,4,0,0
MIR200A,0,1,1,0,4,3,0,0
MIR429,0,0,1,0,5,5,0,0
RP11-465B22.8,6,8,145,91,846,1110,1,0
TTLL10-AS1,4,8,24,377,20,26,0,4
TTLL10,8,9,63,1581,51,44,1,9
TNFRSF18,6,14,88,316,8,20,5,10
TNFRSF4,8,12,244,289,25,60,73,37
SDF4,5443,9570,8397,7929,10438,8405,13645,10353
B3GALT6,1150,1105,1432,382,1560,2180,1566,836
C1QTNF12,31,70,37,49,26,41,25,42
RP5-902P8.12,17,28,22,45,13,6,27,37
UBE2J2,1500,2500,2698,2034,4006,2976,2673,2924
LINC01786,15,53,55,19,22,35,255,119
SCNN1D,142,902,370,256,395,475,2657,2989
ACAP3,2212,4314,4315,3057,3404,4115,8404,7927
MIR6726,0,0,0,0,0,0,0,0
PUSL1,340,440,531,357,1103,1091,692,557
INTS11,3251,4602,5416,5765,7766,9486,17486,19309
MIR6727,0,0,0,1,0,0,0,1
RP5-890O3.9,79,131,155,239,231,259,620,579
CPTP,2028,5398,1868,909,1994,2249,1452,1824
TAS1R3,97,100,81,50,25,31,50,113
DVL1,2873,5900,5093,4192,10803,9827,7707,8269
MIR6808,0,1,0,0,0,0,0,0
MXRA8,329,1137,5453,5030,2449,1030,25170,23918
AURKAIP1,4463,5208,3290,2163,5063,4740,2830,2839
NDUFB4P8,4,4,6,1,2,6,0,3
CCNL2,24639,25819,20006,13616,20368,15567,37538,39213
RP4-758J18.2,1367,2724,1260,519,1169,960,1013,595
MRPL20,2882,2216,2743,1734,4436,2815,3126,3183
RP4-758J18.13,138,127,109,99,154,148,260,365
ANKRD65,38,85,802,586,863,742,1497,725
RP4-758J18.7,1,1,9,3,8,9,49,32
TMEM88B,4,7,3,4,3,0,4,12
LINC01770,65,27,45,53,63,38,84,57
VWA1,10444,3526,2091,1382,5294,2976,3878,2469
ATAD3C,688,725,403,113,1134,479,381,329
ATAD3B,1596,1359,1433,1959,1555,1867,2732,2863
ATAD3A,1729,1357,972,1098,2102,2802,1862,1258
TMEM240,9,46,157,100,35,44,554,872
SSU72,4590,5052,8800,4192,9557,8840,7316,6733
RP5-832C2.5,46,29,62,12,68,34,71,38
RP11-345P4.11,1,2,0,0,0,0,0,0
FNDC10,12,17,325,28,50,45,804,335
RP11-345P4.9,202,279,635,263,482,387,1517,1640
MIB2,795,3798,3450,3835,2617,3701,9949,10600
MMP23B,9,28,72,90,17,7,319,254
CDK11B,1339,1553,3030,2438,2969,2269,3867,3125
RP11-345P4.10,0,0,1,0,2,2,0,2
SLC35E2B,1767,2411,4145,5333,3250,4138,10145,10690
RP11-345P4.6,52,80,72,560,98,43,464,351
MMP23A,15,56,39,21,19,30,41,23
CDK11A,1269,1827,2074,2658,1694,1341,2686,2445
RP1-283E3.4,115,448,388,520,678,335,2219,1177
SLC35E2,124,235,418,416,394,251,1320,776
NADK,5623,8933,6985,6830,5229,4079,5866,4130
GNB1,4268,8522,21873,16670,11102,10148,28665,19908
RP1-140A9.1,0,3,7,3,1,23,68,72
CALML6,10,147,32,21,56,78,18,56
TMEM52,139,298,64,109,8644,7163,110,229
CFAP74,39,18,26,2817,3,0,6,3
RP11-547D24.1,0,4,0,2,1,0,0,3
GABRD,5,4,56,30,6,3,35,9
RP11-547D24.3,1,5,2,1,3,0,0,0
PRKCZ,325,780,3424,1159,1480,1075,327,301
RP5-892K4.1,11,20,20,8,9,9,4,6
PRKCZ-AS1,123,344,453,240,137,120,460,656
FAAP20,913,2212,1850,1181,1726,1718,2839,3080
RP11-181G12.4,2,21,0,1,1,4,4,6
SKI,2039,5035,9089,8807,3705,2487,14602,11897
MORN1,159,234,205,836,317,196,1276,1640
RP4-713A8.1,0,1,1,11,3,1,5,28
RP4-740C4.5,75,103,92,211,129,128,429,552
RP4-740C4.7,23,43,15,38,23,20,59,65
RER1,5570,7923,5785,3723,7605,6088,8595,6924
PEX10,483,623,599,216,1359,848,1489,1146
PLCH2,403,1256,304,768,700,1607,69,60
RP3-395M20.2,4,5,1,0,2,15,0,0
RP3-395M20.3,13,14,3,2,6,26,1,0
PANK4,979,1295,1622,1938,1263,826,2358,1640
HES5,4,4,1,6,6,4,8,4
RP3-395M20.12,100,86,230,154,80,171,14,23
RP3-395M20.8,188,625,804,942,481,167,68,142
TNFRSF14,2712,6115,7708,5478,2508,1409,4254,8407
RP3-395M20.7,5,5,19,14,6,0,28,51
RP3-395M20.9,0,3,17,28,4,11,13,63
FAM213B,461,497,1785,848,857,456,1138,1303
MMEL1,3,11,234,66,28,17,9,17
RP13-436F16.1,0,0,0,0,0,0,0,0
TTC34,53,25,193,539,204,107,299,269
ABC14-1188822O7.1,0,0,0,86,2,0,0,0
RP11-740P5.2,0,0,0,0,0,0,0,0
RP11-740P5.3,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,2,2,2,2,0
LINC00982,2,33,432,297,3620,2906,220,560
PRDM16,14,44,912,855,2422,1100,359,532
MIR4251,0,0,0,0,0,0,0,0
RP1-163G9.2,0,0,1,0,1,4,0,0
RP11-193J6.1,0,0,0,3,4,10,2,0
RP11-22L13.1,1,0,4,18,6,6,12,2
ARHGEF16,640,675,814,394,1964,1800,505,304
RP11-168F9.2,0,5,3,3,7,3,0,0
MEGF6,91,1377,5740,4031,2134,792,3028,3126
MIR551A,0,0,0,0,0,0,0,0
RP11-46F15.2,14,15,20,35,12,30,109,141
TPRG1L,3434,7721,4728,2136,5380,4095,6162,5717
WRAP73,570,693,1361,920,1482,1037,1676,1442
TP73,2,9,13,1022,52,36,78,94
RP5-1092A11.5,0,2,1,2,2,0,0,0
RP5-1092A11.2,0,0,0,4,0,0,0,0
TP73-AS1,1069,2444,3062,1840,2150,1946,7862,7423
CCDC27,0,2,0,2,4,0,45,52
SMIM1,39,259,119,35,199,126,190,346
LRRC47,2102,3901,3303,1661,6759,5703,6477,5247
RN7SL574P,9,8,4,7,7,15,8,53
RP1-286D6.5,68,66,55,22,85,60,136,113
CEP104,1466,1897,2217,1503,2243,1890,2898,2718
DFFB,432,884,551,382,960,629,1425,1596
C1orf174,820,1796,1619,864,1631,1094,2221,1923
LINC01134,35,59,38,12,11,38,16,7
LINC01346,0,0,0,0,0,0,7,0
LINC01345,0,0,0,0,0,0,0,0
EEF1DP6,0,0,0,0,0,1,0,0
LINC01777,0,2,0,0,0,0,0,0
RP1-37J18.1,0,0,0,0,0,0,0,0
LINC01646,0,0,0,0,2,0,0,0
AJAP1,36,38,1630,72,574,600,2158,3212
RP11-542C10.1,0,0,0,0,0,0,0,0
RP1-58B11.1,0,0,0,0,104,178,0,0
RP3-491M17.1,0,0,0,0,0,0,0,0
RP11-154H17.1,0,0,0,0,2,0,0,6
MIR4417,0,0,0,0,0,0,0,0
MIR4689,0,0,0,0,0,0,0,0
NPHP4,413,542,1269,1528,905,511,2645,1291
KCNAB2,425,590,7086,5347,1134,389,1684,1059
CHD5,7,11,107,53,76,86,68,165
RPL22,5872,6366,10859,9673,17789,14733,63438,67896
RP1-120G22.11,6,29,13,0,34,42,11,17
RNF207,563,2416,402,375,1076,1479,1863,1869
ICMT,1303,2405,3859,2522,4244,2697,4097,2029
LINC00337,20,35,0,0,0,0,0,0
HES3,0,0,0,0,0,0,0,0
GPR153,80,145,1101,797,260,186,2830,2235
ACOT7,355,1257,1315,457,783,689,1187,809
HES2,7,1,48,163,0,3,0,0
ESPN,1454,7619,31,458,19,16,27,17
MIR4252,0,0,0,0,0,0,0,0
RP1-202O8.2,0,2,0,1,0,1,0,0
TNFRSF25,83,142,390,350,296,163,1395,1413
PLEKHG5,196,129,1081,638,959,470,4648,2344
NOL9,854,1235,1419,590,2164,1723,2094,2137
RNU6-731P,0,0,0,0,0,0,1,0
RP11-58A11.2,8,0,7,2,16,2,3,0
TAS1R1,5,9,23,5,11,5,103,38
ZBTB48,1185,3138,1592,1466,1007,1332,3037,3432
